year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.035;249.25; 41.25; 80.09; 60.67;
1982; 2; 0.033;250.80; 41.61; 72.35; 56.98;
1982; 3; 0.031;252.32; 38.95; 64.87; 51.91;
1982; 4; 0.029;254.51; 33.23; 55.71; 44.47;
1982; 5; 0.026;255.93; 26.91; 53.75; 40.33;
1982; 6; 0.023;256.55; 21.16; 56.79; 38.98;
1982; 7; 0.022;257.55; 16.65; 59.13; 37.89;
1982; 8; 0.022;259.59; 14.40; 57.76; 36.08;
1982; 9; 0.019;261.38; 10.68; 57.69; 34.19;
1982;10; 0.019;263.85;  8.47; 57.51; 32.99;
1982;11; 0.024;267.20;  9.39; 56.24; 32.82;
1982;12; 0.034;271.10; 12.93; 53.21; 33.07;
1982;13; 0.049;276.11; 18.17; 45.64; 31.91;
1982;14; 0.063;280.12; 19.67; 40.55; 30.11;
1982;15; 0.082;283.33; 21.75; 39.30; 30.52;
1982;16; 0.109;285.96; 25.00; 42.66; 33.83;
1982;17; 0.139;288.42; 26.39; 50.26; 38.33;
1982;18; 0.177;290.40; 29.31; 61.67; 45.49;
1982;19; 0.232;292.52; 37.12; 68.12; 52.62;
1982;20; 0.289;294.72; 44.52; 67.69; 56.10;
1982;21; 0.337;296.08; 50.81; 68.49; 59.65;
1982;22; 0.372;296.22; 55.74; 71.99; 63.87;
1982;23; 0.388;296.33; 58.65; 76.88; 67.77;
1982;24; 0.391;296.15; 59.49; 86.97; 73.23;
1982;25; 0.388;295.78; 59.43; 94.75; 77.09;
1982;26; 0.389;296.06; 63.32; 95.78; 79.55;
1982;27; 0.381;295.82; 62.23; 96.71; 79.47;
1982;28; 0.378;295.88; 64.21; 96.39; 80.30;
1982;29; 0.375;295.93; 66.86; 97.26; 82.06;
1982;30; 0.373;295.97; 70.89; 97.25; 84.07;
1982;31; 0.367;296.09; 73.84; 95.75; 84.80;
1982;32; 0.359;296.46; 75.94; 92.45; 84.20;
1982;33; 0.351;296.68; 77.56; 88.28; 82.92;
1982;34; 0.344;296.80; 79.75; 80.96; 80.36;
1982;35; 0.328;296.49; 80.43; 73.03; 76.73;
1982;36; 0.308;295.61; 78.15; 63.98; 71.06;
1982;37; 0.281;294.31; 73.02; 54.91; 63.97;
1982;38; 0.254;292.64; 65.72; 49.93; 57.83;
1982;39; 0.222;291.02; 53.81; 43.15; 48.48;
1982;40; 0.185;289.06; 40.14; 37.17; 38.65;
1982;41; 0.152;286.64; 30.74; 33.77; 32.25;
1982;42; 0.126;284.14; 26.41; 31.55; 28.98;
1982;43; 0.105;281.19; 25.42; 32.85; 29.13;
1982;44; 0.089;278.35; 25.30; 31.70; 28.50;
1982;45; 0.074;274.91; 23.86; 33.27; 28.57;
1982;46; 0.063;271.18; 24.07; 35.67; 29.87;
1982;47; 0.056;267.78; 25.03; 36.06; 30.54;
1982;48; 0.048;263.98; 25.32; 38.36; 31.84;
1982;49; 0.046;260.44; 28.18; 42.66; 35.42;
1982;50; 0.044;257.30; 33.51; 47.07; 40.29;
1982;51; 0.043;254.87; 38.66; 53.64; 46.15;
1982;52; 0.043;253.54; 47.35; 59.02; 53.19;
1983; 1; 0.043;253.23; 53.58; 61.15; 57.37;
1983; 2; 0.042;253.66; 54.93; 58.49; 56.71;
1983; 3; 0.041;254.62; 53.48; 53.35; 53.41;
1983; 4; 0.039;255.82; 47.65; 49.04; 48.34;
1983; 5; 0.038;258.21; 41.29; 43.01; 42.15;
1983; 6; 0.038;260.74; 35.89; 39.17; 37.53;
1983; 7; 0.039;264.10; 31.13; 34.24; 32.68;
1983; 8; 0.042;267.34; 29.95; 30.23; 30.09;
1983; 9; 0.044;270.09; 28.51; 27.87; 28.19;
1983;10; 0.047;273.44; 26.93; 24.73; 25.83;
1983;11; 0.053;277.36; 27.03; 20.80; 23.92;
1983;12; 0.062;281.13; 28.28; 18.02; 23.15;
1983;13; 0.077;284.88; 32.11; 14.61; 23.36;
1983;14; 0.097;287.77; 35.49; 13.76; 24.62;
1983;15; 0.122;289.92; 38.96; 15.33; 27.15;
1983;16; 0.145;290.96; 39.61; 23.10; 31.35;
1983;17; 0.170;291.86; 38.32; 33.98; 36.15;
1983;18; 0.202;293.30; 38.64; 44.24; 41.44;
1983;19; 0.241;295.09; 40.77; 49.48; 45.13;
1983;20; 0.283;297.05; 42.21; 48.94; 45.57;
1983;21; 0.309;298.16; 37.56; 50.87; 44.22;
1983;22; 0.318;298.63; 27.78; 51.44; 39.61;
1983;23; 0.314;298.73; 18.04; 55.35; 36.69;
1983;24; 0.300;298.78; 10.97; 62.08; 36.52;
1983;25; 0.289;299.16;  7.94; 62.80; 35.37;
1983;26; 0.279;299.52;  7.73; 63.48; 35.60;
1983;27; 0.274;300.06; 10.28; 59.49; 34.89;
1983;28; 0.268;300.27; 12.21; 59.22; 35.71;
1983;29; 0.267;300.12; 14.47; 62.76; 38.62;
1983;30; 0.268;299.68; 18.75; 67.75; 43.25;
1983;31; 0.276;299.21; 28.18; 71.30; 49.74;
1983;32; 0.282;298.84; 36.07; 73.54; 54.80;
1983;33; 0.285;298.51; 41.72; 72.37; 57.05;
1983;34; 0.280;297.95; 44.63; 70.21; 57.42;
1983;35; 0.271;297.54; 48.03; 62.84; 55.44;
1983;36; 0.250;296.14; 45.61; 59.06; 52.33;
1983;37; 0.227;294.44; 41.85; 54.01; 47.93;
1983;38; 0.209;292.82; 39.55; 48.34; 43.95;
1983;39; 0.187;289.88; 34.81; 55.85; 45.33;
1983;40; 0.167;287.34; 31.02; 55.38; 43.20;
1983;41; 0.148;284.55; 28.61; 54.98; 41.79;
1983;42; 0.130;281.80; 28.72; 53.52; 41.12;
1983;43; 0.112;279.30; 28.86; 47.54; 38.20;
1983;44; 0.092;276.30; 26.88; 45.05; 35.97;
1983;45; 0.077;272.53; 25.16; 46.43; 35.80;
1983;46; 0.066;268.49; 25.96; 48.70; 37.33;
1983;47; 0.058;265.25; 26.99; 47.17; 37.08;
1983;48; 0.054;263.32; 30.48; 41.34; 35.91;
1983;49; 0.049;261.56; 31.82; 38.04; 34.93;
1983;50; 0.049;259.49; 38.98; 37.73; 38.36;
1983;51; 0.050;258.01; 48.16; 39.82; 43.99;
1983;52; 0.049;255.67; 57.13; 48.87; 53.00;
1984; 1; 0.049;254.43; 64.16; 54.77; 59.47;
1984; 2; 0.049;253.59; 67.01; 58.79; 62.90;
1984; 3; 0.049;254.40; 65.93; 54.92; 60.42;
1984; 4; 0.049;256.95; 60.44; 44.40; 52.42;
1984; 5; 0.047;259.56; 51.90; 37.44; 44.67;
1984; 6; 0.047;261.73; 43.97; 35.33; 39.65;
1984; 7; 0.049;264.54; 39.50; 32.49; 36.00;
1984; 8; 0.052;267.43; 37.88; 29.60; 33.74;
1984; 9; 0.054;270.55; 35.36; 26.00; 30.68;
1984;10; 0.055;272.78; 32.20; 26.72; 29.46;
1984;11; 0.061;275.64; 31.70; 26.54; 29.12;
1984;12; 0.071;279.73; 33.15; 22.79; 27.97;
1984;13; 0.082;283.45; 34.44; 19.54; 26.99;
1984;14; 0.095;287.50; 34.43; 14.61; 24.52;
1984;15; 0.112;290.44; 34.77; 13.28; 24.03;
1984;16; 0.138;293.31; 36.98; 13.60; 25.29;
1984;17; 0.171;295.89; 38.85; 13.93; 26.39;
1984;18; 0.208;297.55; 41.08; 17.02; 29.05;
1984;19; 0.242;299.07; 41.22; 19.20; 30.21;
1984;20; 0.271;300.60; 37.18; 19.76; 28.47;
1984;21; 0.293;301.54; 29.97; 22.11; 26.04;
1984;22; 0.304;301.70; 20.27; 25.28; 22.77;
1984;23; 0.306;300.92; 13.59; 35.93; 24.76;
1984;24; 0.308;300.98; 14.84; 41.10; 27.97;
1984;25; 0.307;301.77; 17.27; 37.81; 27.54;
1984;26; 0.296;301.86; 15.99; 41.10; 28.54;
1984;27; 0.275;301.49; 10.80; 46.52; 28.66;
1984;28; 0.259;301.00;  7.71; 52.60; 30.15;
1984;29; 0.249;300.52;  6.21; 58.74; 32.48;
1984;30; 0.241;300.08;  6.01; 63.75; 34.88;
1984;31; 0.228;299.04;  4.99; 72.06; 38.52;
1984;32; 0.224;298.37;  6.40; 76.78; 41.59;
1984;33; 0.229;297.99; 11.60; 76.51; 44.05;
1984;34; 0.236;297.55; 20.20; 73.43; 46.82;
1984;35; 0.238;296.98; 29.10; 67.77; 48.44;
1984;36; 0.240;296.24; 39.26; 57.30; 48.28;
1984;37; 0.238;295.50; 47.85; 42.72; 45.28;
1984;38; 0.232;294.35; 52.27; 31.48; 41.88;
1984;39; 0.218;292.55; 51.18; 26.27; 38.72;
1984;40; 0.195;289.79; 45.04; 29.49; 37.26;
1984;41; 0.177;287.04; 43.03; 29.55; 36.29;
1984;42; 0.163;284.69; 44.99; 25.83; 35.41;
1984;43; 0.146;282.20; 46.84; 24.66; 35.75;
1984;44; 0.128;279.54; 46.46; 23.85; 35.16;
1984;45; 0.112;276.40; 46.61; 24.94; 35.78;
1984;46; 0.098;273.30; 47.58; 25.61; 36.60;
1984;47; 0.089;270.42; 50.59; 24.63; 37.61;
1984;48; 0.084;268.01; 56.78; 21.08; 38.93;
1984;49; 0.081;268.05; 63.55;  9.44; 36.50;
1984;50;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;51;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;52;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 1;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 2;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 3;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 4;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 5;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 6;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 7;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 8;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 9; 0.033;265.63; 20.13; 42.86; 31.50;
1985;10; 0.031;267.08; 16.31; 46.32; 31.32;
1985;11; 0.035;269.41; 15.63; 48.36; 31.99;
1985;12; 0.042;272.63; 17.17; 47.81; 32.49;
1985;13; 0.055;276.81; 20.97; 43.27; 32.12;
1985;14; 0.075;281.37; 25.17; 36.28; 30.72;
1985;15; 0.103;285.71; 30.74; 30.60; 30.67;
1985;16; 0.138;289.62; 36.72; 28.05; 32.39;
1985;17; 0.178;293.41; 41.33; 25.79; 33.56;
1985;18; 0.217;296.20; 44.54; 25.53; 35.03;
1985;19; 0.252;298.14; 45.00; 26.36; 35.68;
1985;20; 0.277;298.86; 39.78; 34.13; 36.96;
1985;21; 0.300;299.26; 33.23; 41.62; 37.43;
1985;22; 0.316;299.54; 26.56; 43.87; 35.21;
1985;23; 0.321;299.09; 22.02; 52.46; 37.24;
1985;24; 0.326;298.70; 24.63; 63.37; 44.00;
1985;25; 0.336;298.96; 31.93; 65.13; 48.53;
1985;26; 0.334;298.87; 34.82; 69.93; 52.37;
1985;27; 0.329;298.66; 36.17; 72.10; 54.13;
1985;28; 0.326;298.75; 38.90; 72.44; 55.67;
1985;29; 0.328;299.65; 43.03; 66.58; 54.81;
1985;30; 0.323;300.55; 45.04; 60.24; 52.64;
1985;31; 0.312;301.41; 45.68; 52.89; 49.28;
1985;32; 0.298;301.90; 43.44; 47.55; 45.49;
1985;33; 0.280;301.90; 38.43; 41.61; 40.02;
1985;34; 0.262;301.43; 34.50; 36.52; 35.51;
1985;35; 0.241;299.72; 30.29; 40.53; 35.41;
1985;36; 0.208;296.75; 20.84; 51.93; 36.38;
1985;37; 0.179;293.90; 14.40; 57.99; 36.20;
1985;38; 0.159;291.67; 11.35; 59.03; 35.19;
1985;39; 0.138;288.91;  8.26; 65.24; 36.75;
1985;40; 0.121;286.02;  7.49; 68.56; 38.02;
1985;41; 0.108;283.60;  8.22; 64.37; 36.29;
1985;42; 0.095;280.93; 10.28; 62.21; 36.25;
1985;43; 0.082;278.60; 13.17; 53.42; 33.29;
1985;44; 0.072;276.20; 15.98; 45.96; 30.97;
